,Title transcription
0,simple go market strategy
1,welcome jungle gym build fulfilling career integrates work life
2,new york time writer check u start newsletter
3,fewer people developed blood clot johnson johnson vaccine murdered fedex facility last night perhaps need pause firearm
4,climate economics failed u
5,friday
6,letter shareholder
8,live sport next great battle streaming war
9,snoop dogg äôs success say book industry
11,hire top talent hire weakness
12,inside google plan disrupt college degree
13,blockbuster store year
17,early specialization key parenting approach raising exceptional kid performance expert
19,first gmo mosquito released florida key
22,successful follow elon musk advice redefine word rude
26,payment processor stripe became silicon valley äôs hottest startup
31,well fargo äôs rehabilitation
33,msg got bad rap flawed science xenophobia
37,lost job le pay childcare year pandemic woman ok
38,emerging market summit chicago booth
40,linkedin add äòstay home parent äô job title äî research say äôt use
41,foster real world guide getting first email subscriber
42,softbank talk invest million swiggy
44,zoom court changing justice served
45,covid long hauler killing symptom become painful bear äî support group offer relief
46,unequal impact parenthood academia
48,brain mba
49,dogecoin case study meme moat
50,growing ig page 100k follower
51,reframing negativity creator
52,äòship iterate repeat äô tactical guide engineering lead
53,reading book understand book like pyramid scheme
54,survive wild part
55,bernie madoff died federal prison ap say
57,golden ticket
59,introducing spotify product story
60,use universal clipboard copy paste apple device
61,postanly weekly
62,may al awareness month u
64,blockfi future finance
65,evolution coin century
66,people get rich
68,äôs owns everything big medium today
69,meme last real source alpha
70,äôs name blah äôre feeling äôs called languishing
72,pitch
74,coinbase äôs first employee cold emailed founder job äî paid bitcoin year
75,goldman sachs äôs top image maker leaving
77,substack want pay write local news
78,harvard business review
79,oracle plan billion campus nashville creating job
80,talking money wealth w jennifer risher
83,cool reception democratic proposal expand u supreme court
84,interesting idea science
87,major employer scrap plan cut back office kpmg
88,political sectarianism growing threat american democracy
92,nft startup dapper lab raising money billion valuation
94,reflecting work toward inclusion diversity racial justice
95,winner world press photo contest
98,google buy youtube billion
99,nasa äôs mar helicopter first powered controlled flight another planet
100,stay free edward snowden
101,playing different game
102,unavailable
103,data äôt
106,could index fund äòworse marxism äô
107,äôs city äôs metropolis äôs tokyo
108,inside uber ceo dara khosrowshahi year quest root toxic culture nearly sank world valuable startup
110,äôre wrong note criticism technology hype
111,scannable qr code advertisement created drone night sky shanghai last night
112,american identify independent actually independent äôs really bad politics
113,least vaccinated u county something common trump voter
114,new äòdenim cycle äô decade jean move skinny loose
115,startup fail avoid similar fate
116,äôs behind big bond rally äôs counterintuitive
118,neandertal dna cave mud show two wave migration across eurasia
119,äôs nothing except gamble welcome non fungible memeified cryptodenominated degenerate future finance
120,blockbuster store year
121,yes ä read whitepaper
124,result little twitter poll yesterday
125,larry ellison bill gate absolute savage
127,short history amazon äôs product review ecosystem today
128,novel effort see poverty affect young brain
129,vanishing billionaire jack fell foul xi jinping
130,mtn value mobile money arm billion considers ipo
131,signalfire äôs creator economy market map
133,much saved 30
134,global covid case hit weekly record despite vaccination
136,biden äôs infrastructure plan may fracture nation äôs college
137,texting ur parent like
140,balaji srinivasan future bitcoin ethereum become noncancelable path personal freedom wealth new world changing landscape warfare
141,two generation program aim break cycle poverty pandemic big test
143,scientist create early embryo part human part monkey
148,get rich without getting lucky
149,paradox modern life
150,come whenever mass shooting almost daily event day never gun carrying citizen near come rescue
151,parent sacrificing social life altar intensive parenting
152,thing avoid eating restaurant
153,former l manager morganhousel
154,need twitter verify want validate
156,wall street v main street amateur investor buy ipo
158,attract fear ahhhhhh wealth
159,cash sideline
160,thin air mystery man fell sky
162,bitcoin powerful technology century
163,long jew left france
164,imagine living reality think ford focus better tesla
165,sion
166,joining startup first time actionable tip folk
167,quote ponder frequently
168,man holding dip
170,two block federal reserve growing encampment homeless grip economy äôs powerful person
171,website whose design give feeling care quality japanese stationery
172,future team leadership multimodal
173,investing landscape continues explode financial literacy remains relatively stagnant
174,founder take weekend vacation
175,äôm safety woman getting blood clot birth control decade äôt tried particularly hard modify
177,antonio fat hysteresis business cycle
179,search winning website
180,rotation cathie wood wood
182,even äôre fully vaccinated cdc still recommends meeting email
183,amazing takeaway jeffbezos annual letter
184,stonk market
185,successful follow elon musk advice redefine word rude
186,forest fire starting kit
187,science backed äòfuture self äô strategy pave way greater success
188,coinbase sporting billion dollar market cap fat fee seems completely antithetical concept decentralization smart contract
189,playing different game
190,principle
191,people say greeting internet trusted
192,japan clock stopped earthquake restarts year
193,love short story american investment banker mexican fisherman
194,wealth
195,play string guitar
197,amazon
198,hook culture dead
199,simba cooper
201,made short film twitter
202,candidate vance
203,people lost mind
205,confession overnight millionaire
206,pour one financial advisor everywhere
207,andreessen horowitz value clubhouse billion dst tiger
208,nvidia gancraft
209,slur never expected hear
210,understanding value
212,best frozen pizza restaurant quality pie heat eat
213,invention agriculture new guinea
215,seriousness
219,let algorithm randomize life two year
221,could pandemic prompt epidemic loss woman science
223,vaccine hesistancy
224,neuralink new update
227,single new jersey deli sale valued million stock market
229,favorite charlie munger quote
231,note taking tool networked thought
234,really excited genomics company ark simon barnett
235,doncic beat buzzer win game mavs
237,dogecoin return president
238,hope friend rube ok
239,government give amazon 100m boost lord ring filming
240,paypal äôs schulman say crypto reach million volume month
243,frothier suburban soccer mom äôs latte
245,social app irl talk raise fund billion valuation
246,computer äôt make smarter
248,defeat
251,politico playbook new book resurfaces aoc pelosi rivalry
252,larry ellison bill gate absolute savage
253,satisfied äôs nobel prize podcasting
254,word jeff bezos shared brutal truth people never admit
258,disney äôs äòreal äô lightsaber patent actually work
259,see
261,human v machine
262,introduction biology
264,father explained dogecoin
266,atlantic
267,wall street journal
268,insider paper
269,atlantic
272,venture capital
274,zero hedge
275,femstret edition
276,substack local
279,uk report denes systemic racism prompting angry backlash
282,chimeric human monkey embryo kept alive record day
284,occam razor planet
286,dollar data
287,corona virus crisis
288,giving feedback land
290,letter
292,introduction carnism
298,support aeon
299,google earth timelapse new feature show chilling effect climate change
300,former editor plan vanity fair substack era
301,manager handbook
305,germany political financial elite exposed
306,shape work
307,learned day writing publishing online
309,afghanistan war america lost say taliban
310,supreme court helped create driving black
311,bay area rest usa may soon bubble tea
312,white leberals leaving religion
314,gift animal save life
318,young people prepare party reclaim lost pandemic year
319,bernie madoff mastermind nation biggest investment fraud dy
321,physicist working microsoft think universe self cleaning computer
322,pandemic cannot go back sleep
323,salisbury poisoing suspect linked czech blast
325,nasa helicopter take first historic flight mar
326,apple podcast
330,stay home macro
335,playing different game
336,time rethink proffesionalism
337,predictive coding backpropagation
338,coinbase yc ipo
341,china european ghost town tourism trend went wrong
342,f9 official trailer
349,prospectus pr spera
350,garbage day
351,cdc breakthrough case number show vaccine work pfizer ceo say third shot likely needed within month live covid update
352,joining startup first time actionable tip folk
353,reminder äôs equipment expensive äôs use equipment
354,joining startup first time actionable tip folk
355,billion dollar startup idea
358,cancel culture äî platform failure
361,äôve reached tipping point äô bitcoin adoption fidelity äôs tom jessop say
362,people äôt fake depression fake ok please kind always
363,payment processor striilicon valley äôs hottest startup
364,le time surface appearance time underlying truth
366,senior software engineering intern
368,ok made one
369,bernie madoff would loved dogecoin
370,friend beyond end
371,everyone love million deli
373,rogan harris peterson weinstein feel like kinda disappeared intellectual dark web went dark
374,best email received today
375,5b raised globally q1 health innovation funding hit new milestone
376,äôs never trust ai identify emotion
377,want master business writing
378,swell
379,face tough challenge mongolia typifies problem posed small country china rise
380,striatal dopamine mediates hallucination like perception mouse
382,life lesson leonardo da vinci
383,substack revealed real value writer äô unfiltered thought
384,u india step fight china next dalai lama
385,jumping frenchman maine
386,george p lya teaching john von neumann
388,really take marketing team deliver pipeline revenue latane conant cmo 6sense
389,wikipedia page olympics men äôs marathon might favourite wikipedia page ever
390,think disck disca better shot streaming viac
392,moment stunning vietnamese cover art animorphs
393,darktrace plan first major london ipo since deliveroo flop
394,woman npr npr start
397,fully vaccinated living city precisely friend
398,silicon valley dead according venture dollar
399,trump äôs conspiracy johnson johnson vaccine straight 4chan
400,larry ellison bill gate absolute savage
401,fast food fine dining spending data tell u pandemic recovery
402,playlist decolonize weekly
404,pitch
405,connecting brand relevant newsletter
406,funded coinbase making 6000x best startup investment yet
407,nyc street artist responded pandemic
408,eu considering ban ai mass surveillance social credit score
409,tim sadie 4th july jpg
410,maldives offer holidaymaker vaccine arrival push revive tourism
411,best practice developing product strategy
412,russian troop buildup near ukraine largest since war outbreak monitor say
413,teaching ai agent see like human
